DAUID,transit_stop_count
12060078,0
12060079,0
12060080,0
12060081,0
12060082,0
12060083,0
12060084,0
12060085,0
12060087,0
12060088,0
12060089,0
12060090,0
12060091,0
12060092,0
12060093,0
12060094,0
12060095,0
12060096,0
12060097,0
12060098,0
12060099,0
12060100,0
12060105,0
12060106,0
12060107,0
12060108,0
12060109,0
12060110,0
12060111,0
12060112,0
12060113,0
12060114,0
12060115,0
12060116,0
12060118,0
12060119,0
12060120,0
12060124,0
12060125,0
12060126,0
12060128,0
12060129,0
12060130,0
12060131,0
12060132,0
12060133,0
12060134,0
12060135,0
12060136,0
12060137,0
12060138,0
12060139,0
12060140,0
12060141,0
12060142,0
12060143,0
12060144,0
12060145,0
12060146,0
12060147,0
12060148,0
12060149,0
12060150,0
12060151,0
12060152,0
12060153,0
12060154,0
12060156,0
12060157,0
12060158,0
12060160,0
12060161,0
12060162,0
12060163,0
12060166,0
12060167,0
12060168,0
12060169,0
12060170,0
12060171,0
12060172,0
12060173,0
12060174,0
12060176,0
12060177,0
12060178,0
12060179,0
12060180,0
12060181,0
12060182,0
12060183,0
12060184,0
12060185,0
12060186,0
12060187,0
12060188,0
12060190,0
12070081,0
12070082,0
12070083,0
12070084,0
12070085,0
12070086,0
12070087,0
12070088,0
12070089,0
12070090,0
12070091,0
12070092,0
12070093,0
12070094,0
12070095,0
12070096,0
12070097,0
12070098,0
12070099,0
12070100,0
12070101,0
12070102,0
12070103,0
12070104,0
12070105,0
12070106,0
12070107,0
12070108,0
12070109,0
12070110,0
12070111,0
12070112,0
12070113,0
12070114,0
12070115,0
12070116,0
12070117,0
12070118,0
12070119,0
12070120,0
12070121,0
12070122,0
12070123,0
12070124,0
12070125,0
12070126,0
12070127,0
12070128,0
12070129,0
12070130,0
12070131,0
12070132,0
12070133,0
12070134,0
12070135,0
12070136,0
12070137,0
12070138,0
12070139,0
12070140,0
12070141,0
12070142,0
12070143,0
12070144,0
12070145,0
12070146,0
12070147,0
12070148,0
12070149,0
12070150,0
12070151,0
12070152,0
12070153,0
12070154,0
12070155,0
12070156,0
12070157,0
12070158,0
12070159,0
12070160,0
12070161,0
12070162,0
12070163,0
12070164,0
12070165,0
12070166,0
12070167,0
12070168,0
12070169,0
12070170,0
12070171,0
12070172,0
12070173,0
12070174,0
12070175,0
12070176,0
12070177,0
12070178,0
12070179,0
12070180,0
12070181,0
12070182,0
12070183,0
12070184,0
12070185,0
12070186,0
12070187,0
12070188,0
12070189,0
12070190,0
12070191,0
12070192,0
12070193,0
12070194,0
12070195,0
12080056,0
12080057,0
12080058,0
12080059,0
12080061,0
12080063,0
12080064,0
12080065,0
12080069,0
12080070,0
12080071,0
12080072,0
12080073,0
12080074,0
12080076,0
12080077,0
12080078,0
12080079,0
12080080,0
12080081,0
12080082,0
12080083,0
12080084,0
12080085,0
12080086,0
12080087,0
12080088,0
12080089,0
12080090,0
12080091,0
12080092,0
12080093,0
12080094,0
12080095,0
12080096,0
12080097,0
12080098,0
12080099,0
12080100,0
12080101,0
12080102,0
12080103,0
12080104,0
12080105,0
12080106,0
12080107,0
12080108,0
12080109,0
12080110,0
12080111,0
12080112,0
12080113,0
12080114,0
12080115,0
12080116,0
12080117,0
12080118,0
12080119,0
12080120,0
12080121,0
12080122,0
12080123,0
12080127,0
12080128,0
12080129,0
12080130,0
12080131,0
12080132,0
12080133,0
12090103,29
12090104,38
12090105,39
12090106,40
12090108,11
12090114,28
12090115,23
12090116,22
12090117,19
12090118,20
12090119,12
12090120,8
12090121,20
12090122,25
12090123,16
12090128,15
12090130,8
12090131,20
12090132,26
12090133,23
12090134,32
12090135,29
12090136,38
12090137,33
12090138,32
12090139,43
12090140,34
12090141,45
12090142,40
12090143,60
12090144,50
12090145,46
12090146,38
12090147,38
12090148,40
12090149,42
12090150,44
12090152,39
12090153,45
12090154,43
12090158,64
12090159,59
12090160,71
12090161,70
12090162,56
12090163,45
12090164,27
12090165,25
12090166,47
12090167,48
12090168,47
12090169,51
12090170,51
12090171,69
12090172,75
12090175,67
12090176,82
12090177,73
12090178,66
12090179,44
12090182,40
12090183,24
12090184,30
12090185,14
12090186,27
12090187,40
12090188,48
12090189,16
12090190,27
12090191,22
12090192,12
12090193,43
12090194,52
12090195,55
12090196,57
12090197,42
12090198,67
12090199,65
12090200,76
12090201,84
12090202,73
12090203,66
12090204,57
12090205,46
12090206,64
12090209,51
12090210,58
12090211,74
12090212,70
12090213,70
12090214,68
12090215,64
12090216,57
12090217,57
12090220,54
12090223,47
12090224,49
12090225,58
12090226,63
12090227,70
12090228,73
12090229,57
12090230,53
12090231,41
12090232,82
12090241,58
12090244,66
12090245,86
12090246,68
12090247,62
12090248,62
12090249,69
12090250,82
12090251,76
12090252,64
12090253,69
12090254,76
12090255,78
12090256,62
12090259,58
12090260,35
12090261,26
12090262,29
12090263,23
12090264,27
12090265,30
12090267,37
12090270,22
12090271,21
12090272,12
12090273,28
12090277,41
12090279,43
12090280,55
12090281,70
12090282,80
12090291,65
12090292,57
12090293,32
12090294,17
12090295,47
12090296,64
12090297,71
12090298,76
12090311,89
12090312,96
12090313,91
12090324,66
12090325,50
12090326,59
12090327,82
12090328,64
12090329,75
12090330,57
12090331,43
12090332,80
12090333,81
12090334,86
12090335,95
12090336,94
12090337,106
12090340,103
12090341,109
12090342,104
12090343,83
12090344,87
12090345,87
12090346,97
12090347,105
12090348,95
12090349,93
12090350,100
12090351,94
12090355,89
12090356,76
12090357,78
12090358,90
12090359,71
12090362,25
12090365,36
12090366,47
12090367,40
12090368,48
12090369,51
12090370,33
12090371,34
12090372,4
12090373,24
12090406,49
12090407,25
12090415,48
12090420,27
12090421,40
12090474,13
12090475,22
12090476,87
12090477,90
12090478,80
12090479,82
12090480,52
12090481,71
12090482,47
12090483,32
12090484,39
12090485,40
12090486,70
12090487,43
12090488,64
12090489,67
12090490,62
12090491,66
12090492,54
12090493,42
12090494,53
12090495,66
12090496,66
12090497,67
12090498,68
12090500,55
12090501,51
12090502,45
12090506,26
12090507,43
12090508,47
12090509,52
12090510,66
12090513,45
12090514,46
12090516,43
12090517,33
12090518,32
12090520,23
12090521,43
12090523,15
12090528,67
12090530,67
12090531,68
12090532,68
12090533,65
12090534,37
12090535,25
12090536,42
12090537,38
12090538,33
12090539,56
12090540,54
12090541,37
12090542,61
12090562,50
12090563,39
12090564,46
12090565,64
12090567,70
12090569,59
12090570,69
12090571,43
12090572,68
12090573,34
12090574,31
12090576,38
12090577,50
12090578,33
12090579,18
12090580,45
12090581,55
12090582,59
12090583,0
12090587,0
12090588,0
12090590,0
12090591,0
12090592,0
12090593,0
12090594,0
12090595,0
12090596,0
12090597,0
